dhaL,dhaKLM,0,10.68
dhaM,dhaM,125.43,195.42
dhaM,dhaKLM,125.43,195.42
dhaR,dhaR,58.37,52.84
diaA,diaA,167.31,91.55
dicA,dicA,32.31,248.66
dicB,dicB-ydfDE-insD-intD,0,0
dicC,dicC-ydfXW,0,29.28
dicF,dicF,0,255.23
dinB,dinB-yafNOP,31.21,25.62
dinD,dinD,151.82,180.36
dinF,lexA-dinF,71.65,39.21
dinG,dinG,27.58,40.88
dinI,dinI,26.8,54.99
dinJ,dinJ-yafQ,50.51,77.74
dinQ,dinQ,970.93,1939.91
dipZ,dipZ-yjdC,19.41,35.85
djlA,djlA,0,16.58
djlB,ybeR-djlB,78.48,47.36
djlC,ybeU-djlC,36.32,41.92
dkgA,dkgA,95.54,106.19
dkgA,yqhD-dkgA,95.54,106.19
dkgB,dkgB,352.56,496.32
dksA,sfsA-dksA,43.37,118.66
dksA,dksA-yadB,43.37,118.66
dld,dld,115.25,137.95
dmlA,dmlA,54.63,168.15
dmlR,dmlR,28.54,14.64
dmsA,dmsABC,35.05,63.62
dmsB,dmsABC,10.67,32.83
dmsC,dmsABC,221.26,172.22
dmsD,ynfEFGH-dmsD,32.16,43.99
dnaA,dnaAN-recF,28.17,96.35
dnaB,dnaB,125.7,262.71
dnaC,yjjB-dnaTC-yjjA,0,27.49
dnaC,yjjB-dnaTC,0,27.49
dnaC,dnaTC-yjjA,0,27.49
dnaC,dnaTC,0,27.49
dnaE,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,49.21,56.31
dnaG,rpsU-dnaG-rpoD,45.31,65.85
dnaJ,dnaKJ,5.83,23.92
dnaK,dnaKJ,34.39,74.09
dnaN,dnaN-recF,239.5,319.44
dnaN,dnaAN-recF,239.5,319.44
dnaQ,dnaQ,27.02,120.12
dnaT,yjjB-dnaTC-yjjA,24.42,75.15
dnaT,yjjB-dnaTC,24.42,75.15
dnaT,dnaTC-yjjA,24.42,75.15
dnaT,dnaTC,24.42,75.15
dnaX,dnaX,30.71,28.01
dosC,dosCP,14.3,9.78
dosP,dosCP,41.2,39.45
dosP,dosP,41.2,39.45
dpiA,dpiBA,329.12,446.93
dpiB,dpiBA,3.97,32.61
dppA,dppABCDF,106.59,113.57
dppB,dppABCDF,19.39,53.05
dppC,dppABCDF,29.2,14.98
dppD,dppABCDF,13.4,20.62
dppF,dppABCDF,78.71,255.73
dps,dps,183.11,268.39
dsbA,dsbA,0,10.79
dsbA,rdoA-dsbA,0,10.79
dsbB,dsbB,571.07,968.03
dsbC,dsbC-recJ-prfB,27.81,38.05
dsbC,xerD-dsbC-recJ,27.81,38.05
dsbC,dsbC,27.81,38.05
dsbG,dsbG,255.92,217.3
